排名,学校名称,省市,总分,生源质量（新生高考成绩得分）,培养结果（毕业生就业率）,社会声誉（社会捐赠收入·千元）,科研规模（论文数量·篇）,科研质量（论文质量·FWCI）,顶尖成果（高被引论文·篇）,顶尖人才（高被引学者·人）,科技服务（企业科研经费·千元）,成果转化（技术转让收入·千元）,学生国际化（留学生比例）
1,清华大学,北京,95.3,100.0,97.50%,1182145,44730,1.447,1556,121,1586283,500525,6.90%
2,北京大学,北京,78.6,96.4,97.39%,665616,43731,1.374,1278,94,480918,4110,6.01%
3,浙江大学,浙江,73.9,86.3,96.56%,452414,47915,1.131,939,91,1266561,27720,5.18%
4,上海交通大学,上海,73.1,90.5,98.65%,226279,49749,1.176,960,79,742538,15264,7.33%
5,复旦大学,上海,66.0,91.5,97.23%,257468,31039,1.371,777,56,244496,5349,6.66%
6,中国科学技术大学,安徽,61.9,92.1,93.60%,63406,22240,1.548,847,40,175404,35860,1.68%
7,南京大学,江苏,59.8,88.4,93.77%,84668,25729,1.408,691,33,184782,6088,4.46%
8,华中科技大学,湖北,59.1,82.4,94.48%,29666,29130,1.262,761,34,467580,12570,4.56%
9,中山大学,广东,58.6,81.1,92.01%,148621,29393,1.304,639,46,186417,5752,4.68%
10,哈尔滨工业大学,黑龙江,57.4,78.2,96.16%,58319,28364,1.093,639,22,1413350,12480,2.40%
11,同济大学,上海,56.4,87.0,98.67%,93995,25319,1.003,439,32,443731,2940,4.65%
12,武汉大学,湖北,55.5,84.4,96.51%,81799,24845,1.149,534,19,521504,6168,3.27%
13,东南大学,江苏,55.3,81.8,98.27%,38170,21546,1.111,545,22,772213,3434,4.47%
14,西安交通大学,陕西,54.2,83.6,97.48%,38187,26563,1.093,499,14,365842,29835,2.92%
15,北京航空航天大学,北京,54.0,85.4,98.64%,53067,18945,1.010,355,11,1110330,1553,3.84%
16,南开大学,天津,53.9,85.9,97.16%,69026,12159,1.487,415,19,49596,37514,3.87%
17,四川大学,四川,53.3,75.7,95.33%,46521,31507,0.967,452,20,885847,48289,1.52%
18,天津大学,天津,52.4,82.5,97.20%,162747,22023,1.046,421,17,452185,14925,1.08%
19,华南理工大学,广东,51.8,74.8,99.00%,48587,19220,1.230,518,23,306919,45069,2.56%
20,北京师范大学,北京,51.7,85.1,98.89%,185228,12552,1.243,286,15,99989,1500,4.59%
21,北京理工大学,北京,51.1,82.1,97.83%,61668,15100,0.951,303,10,690464,163858,2.07%
22,厦门大学,福建,50.9,77.9,94.10%,372837,14127,1.289,371,14,202179,1309,3.68%
23,吉林大学,吉林,50.2,74.4,94.56%,142762,27737,0.957,406,19,263041,2890,3.05%
24,山东大学,山东,50.0,73.4,91.89%,24401,27689,1.102,433,19,185779,28590,2.28%
25,大连理工大学,辽宁,49.7,75.8,93.89%,29216,20760,1.009,395,29,387404,1250,1.93%
26,中南大学,湖南,49.5,76.0,95.79%,51401,25200,1.014,413,14,315531,3880,1.16%
27,苏州大学,江苏,48.8,69.5,92.81%,37885,16256,1.343,464,16,486630,2440,2.07%
28,对外经济贸易大学,北京,47.7,84.2,98.86%,30184,691,1.085,10,3,0,0,15.32%
29,西北工业大学,陕西,47.6,77.1,96.37%,63085,15050,0.905,264,6,882419,10670,1.94%
30,中国人民大学,北京,47.5,90.8,97.17%,59108,3659,1.130,58,3,10653,500,4.94%
31,湖南大学,湖南,47.4,74.2,95.89%,8789,13538,1.163,375,16,319991,370,1.61%
32,华东师范大学,上海,46.5,79.4,93.87%,54105,8622,1.211,205,10,56433,155,3.64%
33,电子科技大学,四川,46.4,75.4,96.04%,27987,13285,1.050,299,16,275115,6134,1.20%
34,华东理工大学,上海,45.5,72.9,97.79%,7020,12098,1.149,264,11,299179,2647,1.32%
35,重庆大学,重庆,45.2,73.8,95.10%,19892,18264,0.908,298,5,359647,3559,1.29%
35,南京航空航天大学,江苏,45.2,74.4,99.12%,3119,12760,0.846,212,12,430555,35734,2.54%
